Famille;Sous famille;Désignation;Fournisseur;Fabricant;Ref fournisseur;tenu en stock;Conditionnement;Multiple cde;Unité Qte; Ancien Prix/U HT ;Prix/U HT;unité / prix;Coeff conversion;date prix
Profil Alu;;2 DEPARTS 40X40 RENFORCE;ARCELOR (BERTON SICARD);INSTALLUX;140/R;Non;6;;;;;;;
profil Alu;;1 DEPART 14X40;ARCELOR (BERTON SICARD);INSTALLUX;141;Non;6;;;;;;;
Profil Alu;;MENEAU 18,5X40;ARCELOR (BERTON SICARD);INSTALLUX;142;Non;6;;;;;;;
Profil Alu;;BANDEAU 150X40;ARCELOR (BERTON SICARD);INSTALLUX;143/15;Non;6;;;;;;;
Profil Alu;;BANDEAU 150X40 LG:996 MM;ARCELOR (BERTON SICARD);INSTALLUX;143/151;Non;1;;;;;;;
Profil Alu;;BANDEAU 80X40;ARCELOR (BERTON SICARD);INSTALLUX;143/80;Non;6;;;;;;;
Profil Alu;;BANDEAU 80X40 LG:996 MM;ARCELOR (BERTON SICARD);INSTALLUX;143/801;Non;1;;;;;;;
Profil Alu;;3 DEPARTS 40X40;ARCELOR (BERTON SICARD);INSTALLUX;146;Non;6;;;;;;;
Profil Alu;;RAIL HAUT PORTE ACCORD.;ARCELOR (BERTON SICARD);INSTALLUX;148;Non;6;;;;;;;
Profil Alu;;SEUIL 40 ET 80;ARCELOR (BERTON SICARD);INSTALLUX;149;Non;6;;;;;;;
Profil Alu;;CACHE RAINURE 40;ARCELOR (BERTON SICARD);INSTALLUX;150L;Non;6;;;;;;;
Profil Alu;;BATTUE FEUILLURE 35;ARCELOR (BERTON SICARD);INSTALLUX;151;Non;6;;;;;;;
Profil Alu;;BATTUE DBL ETANCHEITE;ARCELOR (BERTON SICARD);INSTALLUX;152L;Non;6;;;;;;;
Profil Alu;;CLOSOIR SIMPLE;ARCELOR (BERTON SICARD);INSTALLUX;153L;Non;6;;;;;;;
Profil Alu;;BATTUE FEUILLURE 45;ARCELOR (BERTON SICARD);INSTALLUX;154;Non;6;;;;;;;
Profil Alu;;*BATTUE SIMPL ETANCHEITE;ARCELOR (BERTON SICARD);INSTALLUX;157;Non;6;;;;;;;
Profil Alu;PARCLOSE;PARCLOSE A VISSER;ARCELOR (BERTON SICARD);INSTALLUX;164;Non;6;;;;;;;
Profil Alu;;RAIL HAUT PORTE COULISS.;ARCELOR (BERTON SICARD);INSTALLUX;165;Non;6;;;;;;;
